floor,number_of_storeys,ceiling_height,target_price,total_area,living_area,kitchen_area,district,near_the_subway,number_of_rooms,house_type,bathroom,balcony,year_built
14.0,25.0,2.7,35000.0,29.3,23.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
4.0,9.0,2.7,72000.0,63.0,43.2,7.1,Oktyabrsky,No,3,panel,separate,Loggia,1983.0
14.0,27.0,2.51,97000.0,82.4,43.1,19.0,Sovetsky,No,3,frame-block,separate,Loggia,2020.0
2.0,15.0,2.7,51000.0,41.6,27.85,7.04,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
7.0,25.0,2.7,36000.0,29.84,22.0,6.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
20.0,25.0,2.71,55000.0,45.0,30.0,11.0,Oktyabrsky,Yes,2,frame-block,combined,Loggia,2021.0
8.0,12.0,2.65,89000.0,77.6,51.1,8.9,Frunzensky,No,4,panel,separate,Two balconies,1996.0
5.0,5.0,2.6,65000.0,56.3,41.22,5.71,Tsentralny,No,2,brick,separate,Balcony,1961.0
1.0,5.0,2.5,47000.0,43.1,28.07,6.12,Partizansky,Yes,2,silicate,separate,Without,1965.0
4.0,9.0,2.48,65000.0,66.0,43.4,9.2,Zavodskoy,No,3,block-rooms,separate,Balcony,1986.0
4.0,9.0,2.7,80000.0,70.7,53.0,9.0,Pervomaisky,Yes,3,block-rooms,separate,Without,1991.0
3.0,25.0,2.7,36000.0,30.05,26.0,4.0,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
1.0,9.0,2.7,99000.0,86.63,44.99,12.45,Moskovsky,Yes,3,frame-block,separate,Loggia,2021.0
6.0,15.0,2.7,39000.0,31.3,17.64,5.71,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
5.0,9.0,2.53,99000.0,83.0,52.8,6.9,Pervomaisky,Yes,3,panel,separate,Loggia,1985.0
12.0,23.0,2.7,36000.0,29.5,12.25,7.47,Oktyabrsky,Yes,1,frame-block,combined,Loggia,2021.0
